danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.42,0.459,9,-8.94,0,0.0359,0.211,0.0,0.0844,0.057,143.69,audio_features,7pXeWhLY0BLi9CEdIoKrwc,spotify:track:7pXeWhLY0BLi9CEdIoKrwc,https://api.spotify.com/v1/tracks/7pXeWhLY0BLi9CEdIoKrwc,https://api.spotify.com/v1/audio-analysis/7pXeWhLY0BLi9CEdIoKrwc,167876,4
0.72,0.858,0,-3.863,1,0.0325,0.19,0.00245,0.185,0.88,127.983,audio_features,3C9tdNMdQU75ogAIyNB5xU,spotify:track:3C9tdNMdQU75ogAIyNB5xU,https://api.spotify.com/v1/tracks/3C9tdNMdQU75ogAIyNB5xU,https://api.spotify.com/v1/audio-analysis/3C9tdNMdQU75ogAIyNB5xU,195000,4
0.4,0.381,6,-7.855,0,0.0278,0.684,0.00117,0.314,0.222,99.92,audio_features,0KO34q2A15W1WqMQNW6dTI,spotify:track:0KO34q2A15W1WqMQNW6dTI,https://api.spotify.com/v1/tracks/0KO34q2A15W1WqMQNW6dTI,https://api.spotify.com/v1/audio-analysis/0KO34q2A15W1WqMQNW6dTI,215467,4
0.507,0.559,4,-10.713,0,0.0298,0.819,0.702,0.23,0.514,139.982,audio_features,07YSHrZQ0gRifropBiMSiR,spotify:track:07YSHrZQ0gRifropBiMSiR,https://api.spotify.com/v1/tracks/07YSHrZQ0gRifropBiMSiR,https://api.spotify.com/v1/audio-analysis/07YSHrZQ0gRifropBiMSiR,284357,4
0.657,0.551,0,-8.164,1,0.0415,0.298,0.00622,0.13,0.588,78.016,audio_features,4gaRiirYFUub5Fh3PGhbiS,spotify:track:4gaRiirYFUub5Fh3PGhbiS,https://api.spotify.com/v1/tracks/4gaRiirYFUub5Fh3PGhbiS,https://api.spotify.com/v1/audio-analysis/4gaRiirYFUub5Fh3PGhbiS,211154,4
0.652,0.576,0,-9.1,1,0.141,0.0861,4.46e-06,0.244,0.351,126.953,audio_features,6i8gKaVxGACavteSG8sKWX,spotify:track:6i8gKaVxGACavteSG8sKWX,https://api.spotify.com/v1/tracks/6i8gKaVxGACavteSG8sKWX,https://api.spotify.com/v1/audio-analysis/6i8gKaVxGACavteSG8sKWX,185273,4
0.563,0.847,5,-4.692,0,0.0328,0.0204,0.00117,0.154,0.675,104.034,audio_features,0Iq2VSQXWEPn836dDNNM3g,spotify:track:0Iq2VSQXWEPn836dDNNM3g,https://api.spotify.com/v1/tracks/0Iq2VSQXWEPn836dDNNM3g,https://api.spotify.com/v1/audio-analysis/0Iq2VSQXWEPn836dDNNM3g,236700,4
0.307,0.925,2,-6.086,1,0.0815,0.0359,0.0149,0.11,0.335,117.426,audio_features,1cwttrepeTJCoRCZ8SytnY,spotify:track:1cwttrepeTJCoRCZ8SytnY,https://api.spotify.com/v1/tracks/1cwttrepeTJCoRCZ8SytnY,https://api.spotify.com/v1/audio-analysis/1cwttrepeTJCoRCZ8SytnY,194142,4
0.646,0.482,10,-14.089,1,0.0378,0.54,2.94e-05,0.15,0.436,140.009,audio_features,5ptbSHS2TYkcg4WVAHHiwZ,spotify:track:5ptbSHS2TYkcg4WVAHHiwZ,https://api.spotify.com/v1/tracks/5ptbSHS2TYkcg4WVAHHiwZ,https://api.spotify.com/v1/audio-analysis/5ptbSHS2TYkcg4WVAHHiwZ,174857,4
0.524,0.61,5,-9.319,0,0.0439,0.0296,2.08e-05,0.121,0.105,119.938,audio_features,0cRnOa6c9rg7GQh7XMU9Qj,spotify:track:0cRnOa6c9rg7GQh7XMU9Qj,https://api.spotify.com/v1/tracks/0cRnOa6c9rg7GQh7XMU9Qj,https://api.spotify.com/v1/audio-analysis/0cRnOa6c9rg7GQh7XMU9Qj,226052,4
0.692,0.703,0,-6.271,1,0.055,0.0209,3.77e-05,0.103,0.549,87.985,audio_features,0CqZryIJnJhwCCnECIC7Lr,spotify:track:0CqZryIJnJhwCCnECIC7Lr,https://api.spotify.com/v1/tracks/0CqZryIJnJhwCCnECIC7Lr,https://api.spotify.com/v1/audio-analysis/0CqZryIJnJhwCCnECIC7Lr,169252,4
0.638,0.485,3,-9.652,1,0.0346,0.0476,0.128,0.0889,0.652,128.031,audio_features,16UJkFGRSRnsagEEhAaYhY,spotify:track:16UJkFGRSRnsagEEhAaYhY,https://api.spotify.com/v1/tracks/16UJkFGRSRnsagEEhAaYhY,https://api.spotify.com/v1/audio-analysis/16UJkFGRSRnsagEEhAaYhY,206576,4
