id_str,username,text,date,user_language,URLs,user_id,followers_count,friends_count,user_location,source_device,retweet_count,reply_count,like_count,text_clean
1526051195932053504,imusicmarketer,"This song talks about the final stage of a relationship: getting over your ex. In this song, Daniela realizes that her ex isn’t over her and that he probably never will, because she feels like she is one of a kind and unforgettable...

https://t.co/4RwUVctFXY

#popmusic #RnB",2022-05-16 04:05:32+00:00,en,['https://open.spotify.com/track/5rSDJM6SA6xTS71w3r29yC'],1693482374,30077,21939,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"this song talks about the final stage of a relationship getting over your ex in this song daniela realizes that her ex isnt over her and that he probably never will because she feels like she is one of a kind and unforgettable



popmusic rnb"
1526035796075204608,TommyBlunt95,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/sZ9ppxHbrp

#newmusic #popmusic",2022-05-16 03:04:20+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
1526016666215358464,iMusicSuccess,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens.

https://t.co/o877jam798

#nowplaying #popmusic",2022-05-16 01:48:19+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],562207202,74172,57235,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens



nowplaying popmusic"
1525982892756803585,RapStarDestiny,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/dFvbwaJfxN

#newmusic #popmusic",2022-05-15 23:34:07+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],1474616655179251719,179,1421,"Houston, TX","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
1525978198261092352,imusicbuzz,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/hY4qHjmSRu

#newmusic #popmusic",2022-05-15 23:15:28+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],420875454,200552,187471,"Great Sounds City, LA","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
1525948731325091842,TommyBlunt95,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens.

https://t.co/sZ9ppxHbrp

#nowplaying #popmusic",2022-05-15 21:18:22+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,1,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens



nowplaying popmusic"
1525861632928358400,TommyBlunt95,"This song talks about the final stage of a relationship: getting over your ex. In this song, Daniela realizes that her ex isn’t over her and that he probably never will, because she feels like she is one of a kind and unforgettable...

https://t.co/ZNQXBFlv5X

#popmusic #RnB",2022-05-15 15:32:17+00:00,en,['https://open.spotify.com/track/5rSDJM6SA6xTS71w3r29yC'],803945912271679488,34080,23587,"USA, UK, Australia & worldwide","<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,1,2,"this song talks about the final stage of a relationship getting over your ex in this song daniela realizes that her ex isnt over her and that he probably never will because she feels like she is one of a kind and unforgettable



popmusic rnb"
1525807549869596672,imusicmarketer,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens.

https://t.co/YSpS2zbhOE

#nowplaying #popmusic",2022-05-15 11:57:22+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],1693482374,30077,21939,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens



nowplaying popmusic"
1525788379245432832,JRiverssongs,"Listen now to my new track “I Feel Alive” on Spotify, check link below.
#spotifyartist #NewMusic #popmusic #IndieArtists #Spotify #musiclove 
https://t.co/pcNSDbCREk",2022-05-15 10:41:12+00:00,en,['https://open.spotify.com/track/75o68ScBmOSib10S4GuDvj?si=Dz7d1kPcScy2sW1jFQdnhg'],53720149,53,406,Nederland,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,8,"listen now to my new track i feel alive on spotify check link below
spotifyartist newmusic popmusic indieartists spotify musiclove 
"
1525772824148705281,IndieArtistz,"Said Goodbye it is about appreciating the past while taking permission to move forward, even for bigger and better things.  It’s about not letting the past hold you back so that you can celebrate love and life as it happens. 

https://t.co/1RXeM5gMqn

#newmusic #popmusic",2022-05-15 09:39:23+00:00,en,['https://open.spotify.com/track/0Snfe5pBXlNrwIgfN3MHbz'],196996976,51096,42528,,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",0,0,0,"said goodbye it is about appreciating the past while taking permission to move forward even for bigger and better things  its about not letting the past hold you back so that you can celebrate love and life as it happens 



newmusic popmusic"
